content,label
[우리은행] 환전 수수료 최대 90% 할인. 지금 신청하세요 URL 1130 (고객센터: 1588-5000),0
[우리은행] 환전 수수료 최대 90% 할인. 지금 신청하세요 URL 2577 (고객센터: 1588-5000),0
[LG U+] 신규 가입 이벤트. 요금할인 + 사은품 URL 9546 (고객센터: 1544-0010),0
모르는 번호로 온 문자는 반드시 확인 후 삭제하세요. 9385,0
엄마가 이거 보라고 했어 URL 7567,0
[근로복지공단] 산재보상 신청 결과는 홈페이지에서 확인 가능합니다. 8557 (고객센터: 1588-0075),0
이번 주말 어디 갈지 정리된 거야 URL 906,0
[근로복지공단] 산재보상 신청 결과는 홈페이지에서 확인 가능합니다. 2415 (고객센터: 1588-0075),0
공공기관은 절대 문자로 계좌번호를 묻지 않습니다. 5973,0
[건강보험공단] 건강검진 예약 안내. 예약 기간: DATE까지 6399 (고객센터: 1577-1000),0
[우리은행] 환전 수수료 최대 90% 할인. 지금 신청하세요 URL 3692 (고객센터: 1588-5000),0
[경찰청] 스미싱 문자 주의. 출처 불분명한 링크 클릭 금지 6111 (고객센터: 182),0
이벤트 참여는 은행 홈페이지에서 직접 확인하세요. URL 6248,0
[환경부] 대기오염 농도 높음. 차량 2부제 시행에 협조 바랍니다. 7233 (고객센터: 1577-8866),0
엄마가 이거 보라고 했어 URL 8244,0
[KT] 인터넷+TV 가입 시 최대 혜택 지급! URL 1175 (고객센터: 100),0
[보건복지부] 독감 예방접종 대상자에게 안내드립니다. 가까운 보건소 문의 7789 (고객센터: 129),0
친구가 이 링크 꼭 보라던데? URL 595,0
인증서 재발급은 은행 앱을 통해 직접 하세요. URL 7696,0
[농협은행] 스마트뱅킹 첫 가입 시 스타벅스 쿠폰 증정 URL 7326 (고객센터: 1661-3000),0
[하나은행] 하나원큐 대출 한도 확인 이벤트! URL 1868 (고객센터: 1599-1111),0
이번 주말 어디 갈지 정리된 거야 URL 4123,0
[우리은행] 환전 수수료 최대 90% 할인. 지금 신청하세요 URL 2587 (고객센터: 1588-5000),0
드디어 나도 이거 샀어 ㅋㅋ 너도 봐봐 URL 2965,0
[서울시청] 내일 오전 미세먼지 ‘나쁨’ 예보. 실외활동 자제 권고 6091 (고객센터: 120),0
이거 너 예전에 찾던 거 아니야? URL 7587,0
이거 너 예전에 찾던 거 아니야? URL 5233,0
택배조회는 공식 사이트에서만 가능합니다. URL 8822,0
